Classified,GrndTruth,pop,w,lon,lat
22,-1,1346.600175973027945,1284784.494894986040890,23.966369575214873,-6.811933163968886
12,-1,212.807580571621656,6561125.846574615687132,30.406708229877427,-1.815800415260092
11,-1,0.000000000000000,0.000000000000000,25.447306969465078,-1.937140544725934
13,-1,346.607338434085250,1370144.007940015522763,32.950535199010837,-3.053652795328764
23,-1,1605.563147692941129,2512465.491667298600078,30.765981436789691,-3.693005357248091
12,-1,89.054994776844978,2745677.698263549245894,33.101763988056987,-4.024888854674761
12,-1,226.817915957421064,6993082.139541397802532,32.781029500348346,-4.729306441348922
13,-1,447.982670560479164,1770882.216465632431209,31.851636265731592,-5.085665559248291
12,-1,112.187697280198336,3458888.063647087663412,36.512698863290019,-3.369262414807900
21,-1,320.058835851959884,3503053.560164776630700,35.534948182065541,-3.830609574438594
23,-1,2633.592016976326704,4121176.467765404377133,36.443138820434925,-5.895862134603946
22,-1,957.078293979167938,913143.614894054247998,43.766658559431640,9.068675180730603
23,-1,3664.821060597896576,5734895.236676618456841,42.120818122044163,8.833029367888193
22,-1,4540.064259544014931,4331652.609709647484124,42.094449097928759,8.743661634535702
12,-1,136.193211320787668,4199008.308466147631407,36.835611807648867,8.532461269948890
21,-1,1409.930638283491135,15431733.133931959047914,39.869857643026556,8.378150873409949
21,-1,413.040099766105413,4520736.283143017441034,39.549863773453843,7.907241107637586
22,-1,4803.990897089242935,4583463.694958361797035,43.949110826067290,7.801721032279129
12,-1,167.918564081192017,5177140.908013892360032,37.024138717984322,7.014691095047509
23,-1,1864.541700109839439,2917728.079416882246733,46.412934023049971,8.963033622790652
11,-1,0.000000000000000,0.000000000000000,46.914953588424865,6.633533361041415
22,-1,1203.736529126763344,1148479.003757199272513,38.313452808655192,6.528126964703757
23,-1,3400.710491731762886,5321601.812986448407173,39.599881842315476,6.406514748606343
30,-1,1546.243604108691216,5040212.964132895693183,38.334451027091305,6.333552759510661
30,-1,29122.719944953918457,94929874.068569049239159,38.900511501295519,5.774305290735163
11,-1,0.000000000000000,0.000000000000000,42.998341925549305,5.190967701382507
12,-1,84.903456211090088,2617680.533342733047903,36.962187092221640,1.654018395007869
21,-1,503.428828616626561,5510043.632073836401105,37.651209841204960,0.149622128015804
12,-1,120.357348036020994,3710768.690209052525461,36.583510224377363,-0.020219197844445
13,-1,1524.181578636169434,6025112.643072457052767,38.988155317794508,-0.028306877198326
11,-1,0.000000000000000,0.000000000000000,41.801938696531941,-0.117271377937615
30,-1,27075.677450835704803,88257232.002616614103317,36.898589041134130,-1.290026573549772
22,-1,905.249458595179021,863693.982198367360979,37.238795693030127,-1.387088876024987
13,-1,1363.407465837895870,5389570.163569189608097,47.906013189872034,5.320579597395921
21,-1,504.770283412188292,5524725.895054903812706,37.424639223673886,-1.920961672955066
12,-1,147.432433251291513,4545527.682003214024007,38.140007608209835,-2.357813439021466
30,-1,2198.843074752949178,7167458.828618451021612,36.651047149755840,-3.304518903911305
13,-1,531.842838168144226,2102382.716921246610582,39.710823962646764,-5.020867528486169
22,-1,1333.578742645680904,1272360.810464530950412,38.342025758262579,-5.579835024205428
21,-1,306.593917420133948,3355679.623980889096856,76.795832357813737,9.044295308688900
13,-1,514.369967022910714,2033312.195191071368754,77.824652925199857,8.605563972318008
23,-1,1540.857868850231171,2411211.436070283874869,80.112741691994614,6.966026145708977
21,-1,517.734172226861119,5666616.047048161737621,81.113822672537140,6.665967829342589
22,-1,1746.859773691743612,1666670.175780424149707,80.359325314579237,6.009324387157492
22,-1,1276.402105435729027,1217808.866785701829940,95.419404021018977,5.450201952378400
13,-1,279.966039359569550,1106709.953078968683258,96.251510360303584,2.592440083922471
23,-1,2181.473935224115849,3413679.487535457592458,104.974619651048044,9.068675180730603
21,-1,231.766170529648662,2536687.689432120416313,105.264759386930109,9.060548486390600
11,-1,26.934290282428265,16529695.554646851494908,117.900728913122308,9.239352127818378
12,-1,304.482163503766060,9387568.748347122222185,118.241022449605921,9.182456324560016
21,-1,751.400306938216090,8224098.901447983458638,100.517350686016471,5.498813084574848
30,-1,3798.937643565237522,12383207.089847426861525,100.395599161093443,5.385389451404468
23,-1,1840.027983706444502,2879367.790303029585630,101.925453187263813,3.498754418585059
12,-1,196.354289264418185,6053850.144426485523582,101.923829685573054,3.474474153399889
12,-1,85.628914189524949,2640047.316894932650030,101.552195511654830,3.288333280273482
22,-1,2535.208562657237053,2418829.813588456716388,102.648813238470964,2.738078702424171
12,-1,146.155690073966980,4506164.081149894744158,97.978392752178763,2.365903752014050
23,-1,3369.390308000147343,5272590.423474030569196,103.680237292199266,1.637840479105262
30,-1,4820.100507870316505,15711840.620479477569461,103.686012608055279,1.500330164463539
11,-1,0.000000000000000,0.000000000000000,115.736145471602143,3.013192670367547
12,-1,253.227333222515881,7807317.749690024182200,111.511098441965217,2.058484004226425
13,-1,529.479138851165771,2093038.978065741015598,111.664211780524482,-0.869438285115863
22,-1,1248.211896637454629,1190912.729522312292829,109.770961040890256,-1.006935904743080
30,-1,6529.896262109279633,21285176.350784514099360,118.302350142845299,5.020867528486169
11,-1,0.000000000000000,0.000000000000000,117.194378259735515,-0.198148288636104
30,-1,13177.433094188570976,42953819.785471774637699,116.852335487153738,-1.265761223770036
13,-1,794.849309209734201,3142051.242045717313886,104.324672967664895,-3.377355469035237
21,-1,1471.634927779436111,16107088.433593763038516,103.183070484272932,-3.628253277452406
22,-1,2363.137715108692646,2254657.878296628128737,103.346926408030654,-4.081556951366150
22,-1,1186.168529361486435,1131717.463021147530526,104.416755156572464,-5.085665559248291
23,-1,1749.694485064595938,2738009.414953332860023,104.915295669799974,-5.361085447691267
30,-1,9807.244728920981288,31968185.280627276748419,106.169430770415445,-6.090374389302309
21,-1,444.309333456680179,4862978.983963368460536,115.433219712655159,-2.632894596161964
13,-1,981.313740480691195,3879147.935826279222965,116.183913630084419,-2.665258567901919
12,-1,132.584337551146746,4087742.182967168278992,108.149992235341728,-2.729987493451549
13,-1,550.804185111075640,2177337.205806858371943,115.636583044205565,-3.701099493794255
22,-1,981.781661204993725,936712.974047378520481,106.553919964007932,-6.592991424972166
30,-1,2267.286627192050219,7390560.854326566681266,107.518820342773722,-6.836262363514665
22,-1,4857.242472358047962,4634270.756664452143013,112.217279998447651,-6.893032343010028
30,-1,10604.782857914455235,34567880.442800857126713,107.852353200002085,-6.998469229566258
21,-1,1009.547348245978355,11049526.012972680851817,108.784558856029605,-7.136362018613170
22,-1,1076.661361522972584,1027237.221722260583192,112.445025379859956,-7.274270718120945
12,-1,92.034492619335651,2837539.370914818253368,112.194362904224491,-7.339174524492853
23,-1,3869.433907270431519,6055083.649792134761810,126.114020191570518,8.654302106016154
21,-1,469.592904090881348,5139708.423061819747090,122.519016452744722,7.826070909110625
23,-1,3652.706750668585300,5715938.158783735707402,124.469563862762783,7.282383496754819
23,-1,11956.150780534371734,18709582.548919212073088,124.775641532349837,1.257672793258690
13,-1,453.543841816484928,1792865.609858192037791,119.987877740815094,-0.117271377937615
13,-1,304.768185082823038,1204753.207155175739899,120.034508799390636,-4.858883169492547
12,-1,230.552948832511902,7108237.909221870824695,120.138014936002889,-5.239570953086150
22,-1,2354.760120134800673,2246664.856820012908429,127.020464782595624,-3.401634787030746
13,-1,346.600707149133086,1370117.794371130177751,135.598539820114780,-3.490660970162026
11,-1,0.000000000000000,0.000000000000000,137.131354363921474,-1.799621971710401
21,-1,2322.274119019508362,25417359.900892090052366,139.050164000294757,-4.235378141175425
22,-1,1652.859169840812683,1576984.669649270130321,144.763037991947783,-5.936383338664628
13,-1,31.003804892301559,122558.505796341443784,171.125456146726975,7.095803678401732
11,-1,0.507775306701660,311623.998328318586573,-107.304129088696129,24.363934604823534
12,-1,498.398450398351997,15366252.207828693091869,-103.250457224904181,19.544017633746869
12,-1,490.936332443729043,15136185.709019044414163,-99.715674957314178,20.430188463099448
30,-1,6194.064158439636230,20190481.234057761728764,-99.072961435233523,19.527471614496040
23,-1,1869.009023727849126,2924718.770780524704605,-96.966234320901847,19.428209039038549
23,-1,2704.534855838865042,4232191.369159447960556,-96.383307666775565,19.362046837413644
30,-1,3340.717351725324988,10889569.315551456063986,-98.260713529742659,19.320700659690875
11,-1,10.133353346958756,6218884.701118950732052,-96.251740457940897,18.412075991694675
12,-1,56.315095901489258,1736265.363663749536499,-93.012130779270834,17.933724591221111
13,-1,533.936072852462530,2110657.305026877205819,-99.107359576040608,17.645303494162324
13,-1,441.882812492549419,1746769.386025235289708,-95.513336941886450,16.887999352650713
12,-1,141.716466128826141,4369297.213499031960964,-88.653974229518809,15.098035869600130
30,-1,3369.079393912106752,10982019.646365599706769,-90.570011827747777,14.622805247680445
23,-1,4626.145835291594267,7239224.310356050729752,-90.811611136431594,14.491776816819588
12,-1,64.886064291000366,2000519.118532547960058,-89.819055504171629,14.057954826473241
